busStopId,stopNameKorean,stopNameRomanized,stopNameTranslated,StopNameNaver
GGB277102995,의현교차로(경유),Ui-hyeon-gyo-cha-lo(gyeong-yu),Uihyeon Intersection(via),
GGB277102996,의현교차로(경유),Ui-hyeon-gyo-cha-lo(gyeong-yu),Uihyeon Intersection(via),
GGB277103847,공대IC(경유),Gong-dae-IC(gyeong-yu),Engineering University IC(via),
GGB277104084,서포항IC(경유),Seo-po-hang-IC(gyeong-yu),West Pohang IC(via),
GGB277104085,서포항IC(경유),Seo-po-hang-IC(gyeong-yu),West Pohang IC(via),
GGB277104086,포항TG(경유),Po-hang-TG(gyeong-yu),Pohang TG(via),
GGB277104087,포항TG(경유),Po-hang-TG(gyeong-yu),Pohang TG(via),
GGB277104273,서포항TG(경유),Seo-po-hang-TG(gyeong-yu),West Pohang TG(via),
GGB277104274,서포항TG(경유),Seo-po-hang-TG(gyeong-yu),West Pohang TG(via),
GGB350500010,포항터미널,Po-hang-teo-mi-neol,Pohang Terminal,
GGB350500020,포항터미널,Po-hang-teo-mi-neol,Pohang Terminal,
GGB351500410,기계정류장,Gi-gye-jeong-lyu-jang,Gigye Bus Stop,
GGB351500420,기계정류장,Gi-gye-jeong-lyu-jang,Gigye Bus Stop,
GGB351500430,죽장정류소,Jug-jang-jeong-lyu-so,Jukjang Bus Stop,
GGB351500440,죽장정류소,Jug-jang-jeong-lyu-so,Jukjang Bus Stop,
PHB350000001,이마트 이동점,I-ma-teu-i-dong-jeom,Emart Idong Branch,
PHB350000002,이동그린빌,I-dong-geu-lin-bil,Idong Greenville Apartment,
PHB350000003,이동그린빌,I-dong-geu-lin-bil,Idong Greenville Apartment,
PHB350000004,이동온천,I-dong-on-cheon,Idong Hot Springs,
PHB350000005,이동온천,I-dong-on-cheon,Idong Hot Springs,
PHB350000008,포항건강랜드,Po-hang-geon-gang-laen-deu,Pohang Health Land,Pohang Health Land
PHB350000010,한전포항지사,Han-jeon-po-hang-ji-sa,KEPCO Pohang Branch,
PHB350000011,대잠사거리,Dae-jam-sa-geo-li,Daejam Intersection,Daejam Sageori
PHB350000013,포항성모병원,Po-hang-seong-mo-byeong-won,Pohang St. Mary's Hospital,
PHB350000014,시청,Si-cheong,City Hall,City Hall
PHB350000015,대잠그린파크,Dae-jam-geu-lin-pa-keu,Daejam Green Park Apartment,Daejam Green Park
PHB350000016,대잠그린파크,Dae-jam-geu-lin-pa-keu,Daejam Green Park Apartment,Daejam Green Park
PHB350000017,시청,Si-cheong,City Hall,City Hall
PHB350000019,포항성모병원,Po-hang-seong-mo-byeong-won,Pohang St. Mary's Hospital,
PHB350000020,포항성모병원,Po-hang-seong-mo-byeong-won,Pohang St. Mary's Hospital,
PHB350000021,영일대입구,Yeong-il-dae-ib-gu,Yeongildae Entrance,Yeongildae Entrance
PHB350000022,영일대,Yeong-il-dae,Yeongildae,Yeongildae
PHB350000023,효자아트홀,Hyo-ja-a-teu-hol,Hyoja Art Hall,Hyoja Art Hall
PHB350000024,효자아트홀,Hyo-ja-a-teu-hol,Hyoja Art Hall,Hyoja Art Hall
PHB350000025,효자웰빙아울렛,Hyo-ja-wel-bing-a-ul-les,Hyoja Wellbeing Outlet,Hyoja Wellbeing Outlet
PHB350000026,SK뷰2차,SK-byu-2-cha,SK View #2 Apartment,SK View #2
PHB350000027,대잠사거리,Dae-jam-sa-geo-li,Daejam Intersection,Daejam Sageori
PHB350000028,SK뷰2차,SK-byu-2-cha,SK View #2 Apartment,SK View #2
PHB350000030,이동사거리,I-dong-sa-geo-li,Idong Intersection,A moving distance
PHB350000031,대잠센트럴하이츠,Dae-jam-sen-teu-leol-ha-i-cheu,Daejam Central Heights Apartment,Daejam Central Heights
PHB350000034,포항성모병원,Po-hang-seong-mo-byeong-won,Pohang St. Mary's Hospital,
PHB350000048,MBC방송국,MBC-bang-song-gug,MBC Broadcasting Station,
PHB350000891,이동사거리,I-dong-sa-geo-li,Idong Intersection,A moving distance
PHB350000892,포항동부교회,Po-hang-dong-bu-gyo-hoe,Pohang Dongbu Church,
PHB350000893,S포항병원,S-po-hang-byeong-won,S Pohang Hospital,S Pohang Hospital
PHB350085001,청소년수련원,Cheong-so-nyeon-su-lyeon-won,Youth Training Center,Youth Camp
PHB350085002,청소년수련원,Cheong-so-nyeon-su-lyeon-won,Youth Training Center,Youth Camp
PHB350085003,석병2리,Seog-byeong-2-li,Seokbyeong 2-ri,Seokbyeong 2 Ri
PHB350085004,석병2리,Seog-byeong-2-li,Seokbyeong 2-ri,Seokbyeong 2 Ri
PHB350085005,석병교회,Seog-byeong-gyo-hoe,Seokbyeong Church,Seokbyeong Church
PHB350085006,석병교회,Seog-byeong-gyo-hoe,Seokbyeong Church,Seokbyeong Church
PHB350085007,석병1리,Seog-byeong-1-li,Seokbyeong 1-ri,Seokbyeong 1 Ri
PHB350085008,석병1리,Seog-byeong-1-li,Seokbyeong 1-ri,Seokbyeong 1 Ri
PHB350085009,삼정3리,Sam-jeong-3-li,Samjeong 3-ri,Samjeong 3 Ri
PHB350085010,삼정3리,Sam-jeong-3-li,Samjeong 3-ri,Samjeong 3 Ri
PHB350085011,삼정2리,Sam-jeong-2-li,Samjeong 2-ri,Samjeong 2 Ri
PHB350085012,삼정2리,Sam-jeong-2-li,Samjeong 2-ri,Samjeong 2 Ri
PHB350085013,구룡포해수욕장,Gu-lyong-po-hae-su-yog-jang,Guryongpo Beach,Guryongpo Beach
PHB350085014,구룡포해수욕장,Gu-lyong-po-hae-su-yog-jang,Guryongpo Beach,Guryongpo Beach
PHB350085016,구룡포행정복지센터,Gu-lyong-po-haeng-jeong-bog-ji-sen-teo,Guryongpo Administrative Welfare Center,
PHB350085019,병포1리,Byeong-po-1-li,Byeongpo 1-ri,Byeongpo 1 Ri
PHB350085020,병포1리,Byeong-po-1-li,Byeongpo 1-ri,Byeongpo 1 Ri
PHB350085021,하정3리,Ha-jeong-3-li,Hajeong 3-ri,Hajeong 3 Ri
PHB350085022,하정3리,Ha-jeong-3-li,Hajeong 3-ri,Hajeong 3 Ri
PHB350085025,경북대수련원,Gyeong-bug-dae-su-lyeon-won,Kyungpook National University Training Center,Kyungpook National Univ. Training Center
PHB350085026,경북대수련원,Gyeong-bug-dae-su-lyeon-won,Kyungpook National University Training Center,Kyungpook National Univ. Training Center
PHB350085027,하정2리,Ha-jeong-2-li,Hajeong 2-ri,Hajeong 2 Ri
PHB350085028,하정2리,Ha-jeong-2-li,Hajeong 2-ri,Hajeong 2 Ri
PHB350085031,장길리낚시공원,Jang-gil-li-nakk-si-gong-won,Janggil-ri Fishing Park,Janggilli Fishing Park
PHB350085032,장길리낚시공원,Jang-gil-li-nakk-si-gong-won,Janggil-ri Fishing Park,Janggilli Fishing Park
PHB350085033,구평보건진료소,Gu-pyeong-bo-geon-jin-lyo-so,Gupyeong Health Clinic,Gupyeong Health Care Center
PHB350085034,구평보건진료소,Gu-pyeong-bo-geon-jin-lyo-so,Gupyeong Health Clinic,Gupyeong Health Care Center
PHB350085037,구평1리,Gu-pyeong-1-li,Gupyeong 1-ri,Gupyeong 1 Ri
PHB350085038,구평1리,Gu-pyeong-1-li,Gupyeong 1-ri,Gupyeong 1 Ri
PHB350085039,새바위,Sae-ba-wi,Saebawi,Sae Bawi
PHB350085040,새바위,Sae-ba-wi,Saebawi,Sae Bawi
PHB350085041,구포휴게소,Gu-po-hyu-ge-so,Gupo Rest Area,Gupo Rest Area
PHB350085042,구포휴게소,Gu-po-hyu-ge-so,Gupo Rest Area,Gupo Rest Area
PHB350085044,성동2리,Seong-dong-2-li,Seongdong 2-ri,Seongdong 2 Ri
PHB350085045,성동1리,Seong-dong-1-li,Seongdong 1-ri,Seongdong 1 Ri
PHB350085046,성동1리,Seong-dong-1-li,Seongdong 1-ri,Seongdong 1 Ri
PHB350085047,성동2리,Seong-dong-2-li,Seongdong 2-ri,Seongdong 2 Ri
PHB350085050,호미곶온천랜드,Ho-mi-goj-on-cheon-laen-deu,Homigot Hot Springs Land,Homigot Hot Springs Land
PHB350085051,호미곶온천랜드,Ho-mi-goj-on-cheon-laen-deu,Homigot Hot Springs Land,Homigot Hot Springs Land
PHB350085052,관음사,Gwan-eum-sa,Gwaneumsa Temple,Gwaneumsa Temple
PHB350085053,병포2리,Byeong-po-2-li,Byeongpo 2-ri,Byeongpo 2 Ri
PHB350085054,병포2리,Byeong-po-2-li,Byeongpo 2-ri,Byeongpo 2 Ri
PHB350085055,병포삼거리,Byeong-po-sam-geo-li,Byeongpo Intersection,Byeongpo Three Way Intersection
PHB350085056,병포삼거리,Byeong-po-sam-geo-li,Byeongpo Intersection,Byeongpo Three Way Intersection
PHB350085057,구룡포시장,Gu-lyong-po-si-jang,Guryongpo Market,Guryongpo Market
PHB350085058,구룡포환승센터,Gu-lyong-po-hwan-seung-sen-teo,Guryongpo Transfer Center,Guryongpo Transfer Center
PHB350085061,구룡포환승센터,Gu-lyong-po-hwan-seung-sen-teo,Guryongpo Transfer Center,Guryongpo Transfer Center
PHB350085064,구룡포수협,Gu-lyong-po-su-hyeob,Guryongpo Fisheries Cooperative,Guryongpo Suhyup
PHB350085065,구룡포수협,Gu-lyong-po-su-hyeob,Guryongpo Fisheries Cooperative,Guryongpo Suhyup
PHB350085066,구룡포일본인가옥거리,Gu-lyong-po-il-bon-in-ga-og-geo-li,Kuryongpo Japanese House Street,
PHB350085067,구룡포시장,Gu-lyong-po-si-jang,Guryongpo Market,Guryongpo Market
PHB350085068,구룡포행정복지센터,Gu-lyong-po-haeng-jeong-bog-ji-sen-teo,Guryongpo Administrative Welfare Center,
PHB350085069,삼정1리,Sam-jeong-1-li,Samjeong 1-ri,Samjeong 1 Ri
PHB350085070,삼정1리,Sam-jeong-1-li,Samjeong 1-ri,Samjeong 1 Ri
PHB350085075,구평2리,Gu-pyeong-2-li,Gupyeong 2-ri,Gupyeong 2 Ri
PHB350085078,성동3리,Seong-dong-3-li,Seongdong 3-ri,Seongdong 3 Ri
PHB350085079,성동3리,Seong-dong-3-li,Seongdong 3-ri,Seongdong 3 Ri
PHB350085083,하정1리,Ha-jeong-1-li,Hajeong 1-ri,Hajeong 1 Ri
PHB350085084,구평2리,Gu-pyeong-2-li,Gupyeong 2-ri,Gupyeong 2 Ri
PHB350085085,하정1리,Ha-jeong-1-li,Hajeong 1-ri,Hajeong 1 Ri
PHB350085086,구룡포일본인가옥거리,Gu-lyong-po-il-bon-in-ga-og-geo-li,Guryongpo Japanese House Street,
PHB350085088,구룡포6리,Gu-lyong-po-6-li,Guryongpo 6-ri,Guryongpo 6 Ri
PHB350085089,구룡포6리,Gu-lyong-po-6-li,Guryongpo 6-ri,Guryongpo 6 Ri
PHB350085090,병포삼거리,Byeong-po-sam-geo-li,Byeongpo Intersection,Byeongpo Three Way Intersection
PHB350085091,장길리,Jang-gil-li,Janggil-ri,Janggilli
PHB350085092,장길리,Jang-gil-li,Janggil-ri,Janggilli
PHB350085093,구룡포중학교,Gu-lyong-po-jung-hag-gyo,Guryongpo Middle School,Guryongpo Middle School
PHB350085094,구룡포중학교,Gu-lyong-po-jung-hag-gyo,Guryongpo Middle School,Guryongpo Middle School
PHB350085095,병포리(무정차),Byeong-po-li(mu-jeong-cha),Byeongpo-ri(non-stop),
PHB350085096,병포리(무정차),Byeong-po-li(mu-jeong-cha),Byeongpo-ri(non-stop),
PHB350086001,유강리,Yu-gang-li,Yugang-ri,Yugangni
PHB350086002,자명리,Ja-myeong-li,Jamyeong-ri,
PHB350086003,자명리,Ja-myeong-li,Jamyeong-ri,
PHB350086004,대림한숲타운(하),Dae-lim-han-sup-ta-un(ha),Daelim Hansoop Town(Southbound),Daerim Han Sup Town(Southbound)
PHB350086005,유강초등학교(하),Yu-gang-cho-deung-hag-gyo(ha),Yugang Elementary School(Southbound),Yugang Elementary School(Southbound)
PHB350086006,청구아파트사거리,Cheong-gu-a-pa-teu-sa-geo-li,Cheonggu Apartment Intersection,Cheonggu Apartment Sageori
PHB350086007,덕천빌딩,Deog-cheon-bil-ding,Deokcheon Building,Deokcheon Building
PHB350086008,에코코아루,E-ko-ko-a-lu,Eco Koaroo Apartment,Eco Koaru
PHB350086009,에코코아루,E-ko-ko-a-lu,Eco Koaroo Apartment,Eco Koaru
PHB350086010,삼도한솔타운,Sam-do-han-sol-ta-un,Samdo Hansol Town,Samdo Hansol Town
PHB350086011,연일읍행정복지센터,Yeon-il-eub-haeng-jeong-bog-ji-sen-teo,Yeonil-eup Administrative Welfare Center,
PHB350086013,경북자동차학원,Gyeong-bug-ja-dong-cha-hag-won,Gyeongbuk Automobile Academy,Gyeongbuk Vehicle Academy
PHB350086015,연일우체국,Yeon-il-u-che-gug,Yeonil Post Office,Yeonil Post Office
PHB350086017,연일읍행정복지센터,Yeon-il-eub-haeng-jeong-bog-ji-sen-teo,Yeonil-eup Administrative Welfare Center,
PHB350086018,덕천빌딩,Deog-cheon-bil-ding,Deokcheon Building,Deokcheon Building
PHB350086019,영일고등학교,Yeong-il-go-deung-hag-gyo,Yeongil High School,Yeongil High School
PHB350086020,연일전통시장,Yeon-il-jeon-tong-si-jang,Yeonil Traditional Market,Yeonil Traditional Market
PHB350086021,연일파출소,Yeon-il-pa-chul-so,Yeonil Police Box,Yeonil Police Office
PHB350086022,연일파출소,Yeon-il-pa-chul-so,Yeonil Police Box,Yeonil Police Office
PHB350086023,연일전통시장,Yeon-il-jeon-tong-si-jang,Yeonil Traditional Market,Yeonil Traditional Market
PHB350086024,영일고등학교,Yeong-il-go-deung-hag-gyo,Yeongil High School,Yeongil High School
PHB350086026,오천리,O-cheon-li,Ocheon-ri,Ocheolli
PHB350086033,유강1리,Yu-gang-1-li,Yugang 1-ri,Yugang 1 Ri
PHB350086035,자명2리,Ja-myeong-2-li,Jamyeong 2-ri,Jamyeong 2 Ri
PHB350086042,오천리,O-cheon-li,Ocheon-ri,Ocheolli
PHB350086043,청구아파트사거리,Cheong-gu-a-pa-teu-sa-geo-li,Cheonggu Apartment Intersection,Cheonggu Apartment Sageori
PHB350086045,경북자동차학원,Gyeong-bug-ja-dong-cha-hag-won,Gyeongbuk Automobile Academy,Gyeongbuk Vehicle Academy
PHB350086048,동문리,Dong-mun-li,Dongmun-ri,Dongmulli
PHB350086049,형강마을,Hyeong-gang-ma-eul,Hyeonggang Village,
PHB350086050,유강코아루,Yu-gang-ko-a-lu,Yugang Koaroo Apartment,An oil-filled nose ring
PHB350086051,유강청구타운,Yu-gang-cheong-gu-ta-un,Yugang Cheonggu Town Apartment,Yugang Cheonggu Town
PHB350086052,형강마을,Hyeong-gang-ma-eul,Hyeonggang Village,
PHB350086054,진세미골,Jin-se-mi-gol,Jinsemi-gol,Jinsemi Gol
PHB350086055,달전리,Dal-jeon-li,Daljeon-ri,Daljeonlli
PHB350086058,택전삼거리,Taeg-jeon-sam-geo-li,Taekjeon Three-way Intersection,Taekjeon Three Way Intersection
PHB350086062,청솔2차,Cheong-sol-2-cha,Cheongsol #2 Apartment,Cheongsol #2
PHB350086066,택전2리,Taeg-jeon-2-li,Taekjeon 2-ri,Taekjeon 2 Ri
PHB350086073,중명2리,Jung-myeong-2-li,Jungmyeong 2-ri,Jungmyeong 2 Ri
PHB350086076,중명1리,Jung-myeong-1-li,Jungmyeong 1-ri,Jungmyeong 1 Ri
PHB350086080,자명식당,Ja-myeong-sig-dang,Jamyeong Restaurant,Jamyeong Restaurant
PHB350086083,자명초등학교,Ja-myeong-cho-deung-hag-gyo,Jamyeong Elementary School,Jamyeong Elementary School
